parameter_name,human_torch500,std_error_x,z_value_x,p_value_x,robust_std_error_x,robust_z_value_x,robust_p_value_x,ai_torch500,std_error_y,z_value_y,p_value_y,robust_std_error_y,robust_z_value_y,robust_p_value_y,left_sign,right_sign,sign_match,abs_diff
LV_CAR_INTERCEPT,-0.1572562306260856,0.2196249644687132,-0.7160216554001432,0.4739779773851142,0.3294869672696756,-0.4772760268158829,0.6331655796040478,-0.1222782600731186,0.1450755203708938,-0.842859358770572,0.3993071054330033,0.0512566713878955,-2.385606727127332,0.017050974043152,-1.0,-1.0,True,0.034977970552967
LV_CAR_HIGH_EDU,-0.5248977870945485,0.1628730420776139,-3.222741961462344,0.0012696987801253,0.1794161727633227,-2.92558791668669,0.0034380601549363,0.1548183919132794,0.0675015108657438,2.293554469042969,0.0218161032483537,0.0144065238884468,10.746408579340548,6.1614162382776806e-27,-1.0,1.0,False,0.6797161790078279
LV_CAR_TOP_MANAGER,0.3596365456272462,0.2098405543894637,1.713856249920887,0.0865551297235903,0.3084231338746305,1.166049190633778,0.2435945577021042,0.0003684536156138,0.008281390330624,0.0444917581352669,0.9645124215284024,0.0061145973117409,0.0602580344753661,0.9519501248146554,1.0,1.0,True,0.3592680920116324
LV_CAR_EMPLOYEES,0.3483918292774501,0.113405052904663,3.0721014659755483,0.0021255745912378,0.1867064032989612,1.8659875779385675,0.0620431034632629,0.0197836433133158,0.009838317090655,2.0108767720149365,0.0443384743948045,0.0051082139303356,3.8729081403245154,0.0001075443697299,1.0,1.0,True,0.3286081859641343
LV_CAR_AGE_30_LESS,0.0372656470100417,0.1345725143305501,0.2769187095554016,0.7818425260295072,0.3697508912065636,0.1007858206600591,0.9197204829961428,-0.0259626508075538,0.012309008579358,-2.109239801091104,0.0349238880205569,0.0057106223017828,-4.546378561833516,5.457683566187432e-06,1.0,-1.0,False,0.06322829781759551
LV_CAR_SCALED_INCOME,0.0062646277555082,0.0150388219612415,0.4165637289711678,0.6769975441651318,0.0241488429510237,0.2594173049289998,0.795313279216785,0.0035533441728396,0.0016583312253646,2.1427228279189285,0.0321353612264051,0.0005899749502571,6.022872956369785,1.7134793973614801e-09,1.0,1.0,True,0.0027112835826686005
LV_CAR_PARENTS,0.543083626238617,0.1092001121291073,4.973288173885103,6.582669539291264e-07,0.1843560967351622,2.945840337565764,0.0032207860447637,0.0067189042785021,0.0051353723738458,1.308357756629523,0.1907519936617993,0.0039920658807254,1.683064478204752,0.0923626100534346,1.0,1.0,True,0.5363647219601149
SIGMA_CAR,0.8986821299464276,0.0775270878876533,11.591846855498211,4.532525640338523e-31,0.1290541387006296,6.963605654144303,3.3167220447463146e-12,1e-06,0.0027645779537658,0.0003617188651301,0.9997113901084552,1.0012500412658464e-05,0.099875151938644,0.9204434435764244,1.0,1.0,True,0.8986811299464276
LV_ENV_INTERCEPT,0.1054884981821463,0.0666004874335673,1.5838997918351423,0.1132165247787421,0.0786079287997272,1.3419574818070057,0.1796097821217411,-0.1189072063082591,0.325125713338956,-0.3657268601954402,0.7145689011028646,0.1115331606844997,-1.0661152753002203,0.2863715352664878,1.0,-1.0,False,0.2243957044904054
LV_ENV_CHILD_SUBURB,0.0292397951396713,0.0315838539341651,0.9257830029425834,0.3545587620413921,0.0658567267504093,0.4439910178118531,0.6570490779604179,-0.0211938218938767,0.046176161753054,-0.4589775565847017,0.6462502830126432,0.0625894978823225,-0.3386162632862822,0.7348988293519796,1.0,-1.0,False,0.050433617033548
LV_ENV_SCALED_INCOME,-0.0004772043450309,0.003917011775685,-0.1218286725593141,0.9030347056663764,0.0067866318809823,-0.0703153424850034,0.943942671195521,0.0448254746207091,0.0068222033035089,6.570527529962834,5.0137312858036576e-11,0.0078534522205617,5.707741431640488,1.1448516227163925e-08,-1.0,1.0,False,0.04530267896574
LV_ENV_CITY_CENTER_KID,0.0466685865469373,0.0477398324793875,0.9775607521682698,0.3282916167652826,0.0625365791503846,0.7462606234778396,0.4555099930252588,0.1248283792930407,0.0776397933235318,1.6077886602926674,0.1078814728273002,0.1018792376939795,1.2252582775304517,0.2204779230683147,1.0,1.0,True,0.07815979274610341
LV_ENV_ARTISANS,0.142019691867871,0.0671664718466107,2.114443232811215,0.0344774284327743,0.0985291858932308,1.4413971919119255,0.1494725031485424,0.0167277241307491,0.1013755166059839,0.1650075352588803,0.8689380510805572,0.0925957588316466,0.1806532431054718,0.8566397614140784,1.0,1.0,True,0.1252919677371219
LV_ENV_HIGH_EDU,0.0471682501469152,0.0671292287619006,0.7026484739488872,0.4822748458090393,0.0467090460318261,1.0098311602162924,0.3125761884507126,1.7980429128564983,0.1572052084296266,11.4375530608542,2.71433227929656e-30,0.2343186767404642,7.673493798567514,1.6737362832265072e-14,1.0,1.0,True,1.750874662709583
LV_ENV_LOW_EDU,-0.1218427612077343,0.0615610437968201,-1.9792185722170632,0.0477914027731627,0.0535352024730601,-2.2759372446391275,0.0228497659205065,0.0222742851193666,0.0923355632090719,0.2412319191569973,0.8093753733460993,0.0636923977128506,0.3497165426207931,0.7265514374893267,-1.0,1.0,False,0.1441170463271009
SIGMA_ENV,0.2520748971171169,0.047035821721182,5.359211084083135,8.358614851980744e-08,0.0704098313182355,3.5801093738997727,0.0003434504194279,6.52056400083544e-05,0.0284079722959297,0.0022953289072904,0.9981685941110462,9.711863549507464e-05,0.6714019371870324,0.5019645111818998,1.0,1.0,True,0.25200969147710856
ASC_PT,0.0583495044032895,0.2896748133246998,0.2014310589643324,0.8403615313487367,0.3461486296994697,0.1685677752182619,0.8661366294322921,-3.297997203970359,3.605317486889138,-0.9147591622550968,0.3603180779519001,1.427924557900949,-2.309643871395012,0.0209078786314105,1.0,-1.0,False,3.3563467083736485
ASC_CAR,0.2387106498818433,0.16397307541801,1.4557917467444437,0.1454501979909497,0.2602234232596625,0.9173296042748896,0.3589699487927817,6.822887017975734,4.1449408399641525,1.6460758503937398,0.0997481437160118,1.648579323724515,4.138646481724206,3.493607871320462e-05,1.0,1.0,True,6.584176368093891
B_COST,-1.6664393300889335,0.2117363817270929,-7.870349519039236,3.536518178931717e-15,0.3385575021153366,-4.922175168699192,8.558755176499435e-07,0.9409405972469348,0.4338537785119596,2.168796594267755,0.0300981299278875,0.3253099718686714,2.892443142280296,0.0038225836373261,-1.0,1.0,False,2.6073799273358684
B_TIME_PT,-0.7988934436872737,0.8660902007473724,-0.9224136735387228,0.3563128401830716,1.255214333609089,-0.6364597840356344,0.52447678516395,-20.0,13.286656445389417,-1.5052695975246784,0.1322547782233199,13.29808503876706,-1.5039759440321878,0.1325875608663964,-1.0,-1.0,True,19.201106556312727
B_TIME_CAR,-5.208706992975246,1.393031476885222,-3.7391165091414615,0.0001846681296549,2.023074100792727,-2.574649633908245,0.0100341673163886,-17.251545805546275,11.780447042760844,-1.4644219988364071,0.1430786809882737,11.77039081506068,-1.4656731519460031,0.1427373517854386,-1.0,-1.0,True,12.042838812571029
B_WAIT_WORK,-2.5765711308062724,0.7975335847643997,-3.230674143418575,0.0012349864720998,1.0057049107988072,-2.561955403757315,0.010408468268078,8.336243740972124,7.250346532684473,1.1497717665483216,0.2502378867018586,4.707317096291131,1.7709118740991985,0.0765753574721156,-1.0,1.0,False,10.912814871778396
B_WAIT_OTHER,-4.23490461475021,1.1270183996003704,-3.7576179911986047,0.0001715384883785,1.3260590431022348,-3.1936018511233915,0.0014050976157807,4.050559997628249,8.641258564582289,0.4687465335466501,0.639250821099599,8.727883288730405,0.4640941982872757,0.6425802582396325,-1.0,1.0,False,8.285464612378458
B_DIST_WORK,-1.1098095250964457,0.1820956905006683,-6.094650137216577,1.0967705466751462e-09,0.298692807190474,-3.71555490584254,0.0002027582291873,-9.241927057046444,0.345329463415844,-26.762636948580784,8.801190585355626e-158,0.207776035201011,-44.480235885266666,0.0,-1.0,-1.0,True,8.132117531949998
B_DIST_OTHER,-1.2830177815423458,0.2216947863992,-5.787315986908457,7.151996542687399e-09,0.4046520418588525,-3.1706692388070974,0.0015208821025661,-2.350871789829289,1.26619999837604,-1.8566354389862505,0.06336303839976,1.1723899399933213,-2.005196146465297,0.0449420818941339,-1.0,-1.0,True,1.067854008286943
B_LV_CAR_TO_PT,0.9430347769024636,0.3989124453347927,2.364014429559872,0.0180781084450535,0.5075062803107513,1.8581736098418995,0.0631443643336516,20.0,6.875290060819835,2.9089681777898875,0.0036262376873579,5.709698427169002,3.502811970739487,0.0004603743206521,1.0,1.0,True,19.056965223097535
B_LV_ENV_TO_PT,0.1037386635789048,1.2641513345857551,0.0820619025117736,0.9345974882976396,1.585959962728233,0.0654106446675043,0.9478470490125576,20.0,14.055447662439812,1.422935823911588,0.1547547600659473,12.47530160168616,1.6031676538623167,0.1088976447173616,1.0,1.0,True,19.896261336421095
B_LV_CAR_TO_CAR,1.496154127216492,0.4512573042382806,3.3155233459145674,0.0009147170035532,0.6988425481796516,2.14090302760426,0.0322818589501025,3.238647272079821,1.3280447591246056,2.4386582227956,0.0147419035407824,0.9132405930947144,3.5463242617205184,0.0003906452000568,1.0,1.0,True,1.7424931448633292
B_LV_ENV_TO_CAR,0.8362578199738586,1.4054888448261835,0.5949942776509752,0.5518472960564494,1.8674858685237716,0.447798740578911,0.6542984524250554,17.646266827486368,14.08868608106909,1.2525133093282266,0.2103828816684995,11.950330932255662,1.4766341557836324,0.139773730856776,1.0,1.0,True,16.81000900751251
INTERCEPT_ENVIR01,-0.5694747413014383,0.1977174270531757,-2.880245559478573,0.0039736554519123,0.2925915372845933,-1.9463130977282184,0.0516171412161731,0.5598382384550674,0.1454923997192072,3.8478864843491913,0.0001191412317821,0.0522155225055467,10.721682204666187,8.052526414656403e-27,-1.0,1.0,False,1.1293129797565058
INTERCEPT_MOBIL05,-0.109685990040577,0.0710703014904817,-1.543344937903029,0.1227471057565544,0.1159365549965385,-0.9460863318204672,0.3441045546049865,-0.2510932715768382,0.4575152484616153,-0.5488194599439771,0.5831293542347781,0.1539325817592345,-1.6311898930505324,0.1028502572675022,-1.0,-1.0,True,0.1414072815362612
INTERCEPT_LIFSTY07,-0.8933787505705858,0.048936506518471,-18.25587509466744,1.8580963869030978e-74,0.094834641901411,-9.420384077575068,4.494409669020593e-21,0.5795124142225604,2.767542843315124,0.2093960046986613,0.8341391114250858,0.8910709992366261,0.6503549265086893,0.5154629851562,-1.0,1.0,False,1.4728911647931462
INTERCEPT_ENVIR05,-0.0838565695065228,0.0392614968351486,-2.135847490955837,0.0326918467344419,0.0633749545130098,-1.3231815336342136,0.1857750155149231,0.0397759453952394,0.3114937300857778,0.1276942087543338,0.8983909733176821,0.1287934039007405,0.3088352678829287,0.7574468397719427,-1.0,1.0,False,0.12363251490176219
INTERCEPT_MOBIL12,-1.0749085809570362,0.0319436933067676,-33.65010334385172,3.1070908266088604e-248,0.0475370083414761,-22.61203677849401,3.2995689649270195e-113,-0.0178220252496432,0.2105083375994602,-0.0846618497532086,0.9325302265186082,0.2167460877501595,-0.0822253607187893,0.9344675067887248,-1.0,-1.0,True,1.057086555707393
INTERCEPT_LIFSTY01,-0.8244517097461106,0.0410915243997181,-20.06378983963336,1.5296898193327304e-89,0.0580887360068913,-14.192970383247822,1.0127635557876428e-45,-2.352904758321624,0.4994352412514428,-4.711130821337143,2.4634603026091666e-06,0.1687278866679983,-13.944966684442488,3.3760564375369373e-44,-1.0,-1.0,True,1.5284530485755132
LOADING_MOBIL05_CAR,-0.2778147109195957,0.076128203507462,-3.649300760031261,0.0002629550955687,0.2088141737204218,-1.3304399120509782,0.1833733717263754,3.278585236992289,1.5740057507375786,2.0829563268469284,0.0372552045999128,0.547117463570602,5.992470457067047,2.0667699132698475e-09,-1.0,1.0,False,3.556399947911885
LOADING_LIFSTY07_CAR,-0.0516617255501397,0.0668206520876756,-0.7731400986981415,0.4394394721758448,0.187966775538607,-0.2748449847166143,0.783435335650859,20.0,8.723225269676755,2.2927299687562823,0.0218635560534235,1.9502217013712813,10.25524430680736,1.1209218680369664e-24,-1.0,1.0,False,20.05166172555014
LOADING_MOBIL12_ENV,-4.8491280900073725,0.9471813821997984,-5.11953484426122,3.062901771100565e-07,1.5664377421146851,-3.095640483905264,0.0019638831759179,0.6618074131805468,0.0848567588916207,7.799112549488355,6.2344043197397e-15,0.1904819693485066,3.474383509599804,0.0005120286354775,-1.0,1.0,False,5.51093550318792
LOADING_LIFSTY01_ENV,-0.1128183403707322,0.1881641191913372,-0.5995741422731683,0.5487900842976088,0.2464215802821584,-0.4578265436069056,0.6470770641949503,1.6110861912812628,0.1223579034730452,13.166997354087354,1.3589563274286509e-39,0.1164784603273678,13.831623346953885,1.6427103235254497e-43,-1.0,1.0,False,1.723904531651995
DELTA_1,0.7810170084820521,0.0166441605956368,46.92438552213866,0.0,0.0279275734210723,27.96580271069116,4.2356085527865613e-172,1.2528132889168204,0.020522333452541,61.04633724103614,0.0,0.0389845298425069,32.13616513981427,1.3784183380450929e-226,1.0,1.0,True,0.4717962804347683
DELTA_2,0.8235990044709723,0.0211263043862385,38.98452798055184,0.0,0.0338837157085821,24.30663188046901,1.6680567706080554e-130,2.061122246947964,0.0512509127621348,40.21630320056975,0.0,0.1335774165188052,15.430170014238865,1.0259958294235155e-53,1.0,1.0,True,1.2375232424769917
